                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.6828,                0.44904,                 1.6446,                0.86445,                0.72233,                0.80977,                0.47189,                 1.4317,                0.26294,                 1.4994,               0.004852,               0.004852,               0.004852
                     54,                 1.6902,                0.45244,                 1.6399,                0.85958,                0.72313,                0.80846,                0.47398,                 1.4113,                0.26446,                 1.4879,               0.004753,               0.004753,               0.004753
                     55,                 1.6906,                 0.4521,                 1.6405,                0.86246,                 0.7273,                0.81529,                 0.4769,                 1.4253,                0.26091,                  1.491,               0.004654,               0.004654,               0.004654
                     56,                 1.6786,                0.44955,                 1.6419,                0.86144,                0.72757,                0.81374,                0.47572,                 1.4191,                0.26103,                 1.4851,               0.004555,               0.004555,               0.004555
                     57,                 1.6704,                0.44111,                 1.6272,                0.86594,                 0.7273,                0.81769,                0.47705,                 1.4197,                0.25837,                 1.4862,               0.004456,               0.004456,               0.004456
                     58,                 1.6805,                0.44776,                 1.6307,                0.86664,                0.72177,                0.81215,                0.47501,                 1.4183,                0.25956,                 1.4891,               0.004357,               0.004357,               0.004357
                     59,                 1.6698,                0.44324,                 1.6365,                0.87114,                0.72286,                 0.8141,                0.47599,                 1.4248,                 0.2568,                 1.4902,               0.004258,               0.004258,               0.004258
                     60,                 1.6726,                 0.4417,                 1.6314,                0.86398,                0.72867,                0.81395,                0.47476,                 1.4206,                0.25584,                 1.4911,               0.004159,               0.004159,               0.004159
                     61,                 1.6646,                0.43703,                 1.6224,                0.86443,                0.73145,                0.81437,                0.47676,                 1.4224,                0.25448,                 1.4921,                0.00406,                0.00406,                0.00406
                     62,                  1.658,                0.43398,                 1.6187,                0.86505,                0.72757,                0.81661,                0.47637,                 1.4192,                0.25434,                 1.4907,               0.003961,               0.003961,               0.003961
                     63,                 1.6584,                0.43846,                 1.6128,                0.87076,                0.72684,                0.81884,                0.47976,                 1.4166,                0.25232,                 1.4841,               0.003862,               0.003862,               0.003862
                     64,                 1.6588,                0.43612,                 1.6187,                0.86804,                0.73155,                0.82103,                0.47925,                 1.4182,                0.25098,                 1.4807,               0.003763,               0.003763,               0.003763
                     65,                 1.6513,                0.43526,                 1.6081,                0.87085,                0.72957,                0.82013,                0.47949,                 1.4166,                0.25142,                 1.4852,               0.003664,               0.003664,               0.003664
                     66,                 1.6388,                0.42803,                 1.6065,                0.86334,                0.73164,                0.81905,                0.47881,                 1.4198,                0.25317,                 1.4869,               0.003565,               0.003565,               0.003565
                     67,                 1.6377,                 0.4298,                 1.6079,                0.86467,                 0.7359,                 0.8191,                0.47718,                  1.427,                0.25196,                 1.4879,               0.003466,               0.003466,               0.003466
                     68,                 1.6383,                0.42877,                 1.6026,                0.86597,                0.74015,                0.82098,                0.47967,                 1.4195,                0.24892,                 1.4829,               0.003367,               0.003367,               0.003367
                     69,                 1.6344,                 0.4241,                 1.5973,                0.87106,                0.73472,                0.82001,                0.47875,                 1.4154,                 0.2495,                 1.4824,               0.003268,               0.003268,               0.003268
                     70,                 1.6201,                0.42053,                 1.6013,                0.87139,                0.73677,                0.82019,                 0.4785,                 1.4174,                0.24893,                 1.4856,               0.003169,               0.003169,               0.003169
                     71,                  1.624,                0.42206,                 1.5933,                0.86654,                0.73916,                0.82001,                0.47909,                 1.4154,                0.24822,                 1.4861,                0.00307,                0.00307,                0.00307
                     72,                 1.6059,                0.41565,                 1.5883,                0.86687,                0.73481,                0.81856,                0.47963,                 1.4107,                0.24792,                 1.4823,               0.002971,               0.002971,               0.002971
                     73,                 1.6193,                 0.4135,                 1.5863,                0.87263,                0.73418,                0.82055,                0.48138,                 1.4121,                0.24555,                 1.4831,               0.002872,               0.002872,               0.002872
                     74,                 1.6188,                0.41725,                 1.5949,                0.87271,                0.73364,                0.82076,                0.48126,                 1.4103,                0.24541,                  1.482,               0.002773,               0.002773,               0.002773
                     75,                  1.608,                 0.4163,                 1.5851,                0.87198,                0.73762,                0.82141,                 0.4807,                 1.4132,                0.24469,                 1.4824,               0.002674,               0.002674,               0.002674
                     76,                 1.6108,                0.40993,                   1.58,                0.86638,                0.74088,                0.82149,                0.48105,                 1.4116,                0.24309,                 1.4826,               0.002575,               0.002575,               0.002575
                     77,                 1.5928,                0.40528,                  1.562,                0.86729,                 0.7397,                0.82223,                0.48147,                 1.4052,                0.24298,                 1.4785,               0.002476,               0.002476,               0.002476
                     78,                 1.5958,                0.40709,                  1.576,                0.87078,                0.73889,                0.82262,                0.48086,                 1.4081,                0.24222,                  1.483,               0.002377,               0.002377,               0.002377
                     79,                  1.582,                0.40456,                 1.5772,                0.86408,                0.74033,                0.82183,                0.48224,                 1.4107,                0.24209,                 1.4861,               0.002278,               0.002278,               0.002278
                     80,                 1.5904,                0.40307,                 1.5691,                0.86477,                0.74052,                0.82295,                0.48203,                 1.4118,                0.24197,                  1.487,               0.002179,               0.002179,               0.002179
                     81,                 1.5797,                0.39856,                 1.5628,                0.86295,                0.74187,                0.82304,                0.48332,                 1.4119,                0.24121,                 1.4849,                0.00208,                0.00208,                0.00208
                     82,                 1.5712,                 0.3924,                 1.5567,                 0.8685,                0.74033,                0.82412,                0.48242,                 1.4123,                0.24107,                 1.4833,               0.001981,               0.001981,               0.001981
                     83,                 1.5792,                0.40331,                 1.5703,                0.86963,                0.74045,                0.82366,                 0.4816,                 1.4131,                0.24099,                 1.4846,               0.001882,               0.001882,               0.001882
                     84,                 1.5733,                0.40098,                 1.5646,                0.86382,                0.74224,                0.82217,                0.48056,                 1.4179,                0.24015,                  1.487,               0.001783,               0.001783,               0.001783
                     85,                 1.5691,                0.39372,                  1.552,                0.85853,                0.74449,                0.82162,                0.48008,                 1.4173,                0.23945,                  1.486,               0.001684,               0.001684,               0.001684
                     86,                 1.5743,                0.39641,                 1.5503,                0.86399,                0.74287,                0.82238,                0.48069,                 1.4174,                0.23933,                 1.4865,               0.001585,               0.001585,               0.001585
                     87,                 1.5664,                 0.3923,                 1.5439,                0.86591,                0.74187,                0.82217,                0.48039,                 1.4186,                 0.2392,                 1.4871,               0.001486,               0.001486,               0.001486
